name,pos,team,adp,notes
Seattle Seahawks DST,DST,,158.0,fp_rank=211;bye=11
Omar Cooper Jr.,WR,NYJ,160.5,fp_rank=158;bye=13
Denzel Boston,WR,CLE,160.5,fp_rank=159;bye=11
Jonah Coleman,RB,DEN,161.5,fp_rank=160;bye=10
Denver Broncos DST,DST,,163.0,fp_rank=214;bye=10
Aaron Rodgers,QB,PIT,165.5,fp_rank=161;bye=9
Zach Charbonnet,RB,SEA,166.5,fp_rank=162;bye=11
T.J. Hockenson,TE,MIN,166.5,fp_rank=163;bye=6
Travis Hunter,WR,JAC,168.0,fp_rank=164;bye=7
Tre' Harris,WR,LAC,168.0,fp_rank=165;bye=7
Deebo Samuel Sr.,WR,,168.0,fp_rank=166
Fernando Mendoza,QB,LV,172.0,fp_rank=167;bye=13
Brian Robinson Jr.,RB,ATL,172.0,fp_rank=168;bye=11
Ryan Flournoy,WR,DAL,173.5,fp_rank=169;bye=14
Tank Bigsby,RB,PHI,174.0,fp_rank=170;bye=10
Geno Smith,QB,NYJ,174.0,fp_rank=171;bye=13
Dalton Schultz,TE,HOU,174.5,fp_rank=172;bye=8
Emmett Johnson,RB,KC,175.5,fp_rank=173;bye=5
Alvin Kamara,RB,NO,175.5,fp_rank=174;bye=8
Jacoby Brissett,QB,ARI,176.5,fp_rank=175;bye=14
Jerry Jeudy,WR,CLE,178.0,fp_rank=176;bye=11
Antonio Williams,WR,WAS,178.0,fp_rank=177;bye=7
Isaac TeSlaa,WR,DET,179.0,fp_rank=178;bye=6
Sean Tucker,RB,TB,179.5,fp_rank=179;bye=10
New England Patriots DST,DST,,180.0,fp_rank=222;bye=11
Kaytron Allen,RB,WAS,182.5,fp_rank=180;bye=7
Philadelphia Eagles DST,DST,,183.0,fp_rank=224;bye=10
Malik Washington,WR,MIA,183.5,fp_rank=181;bye=6
Minnesota Vikings DST,DST,,188.0,fp_rank=229;bye=6
Pittsburgh Steelers DST,DST,,189.0,fp_rank=230;bye=9
AJ Barner,TE,SEA,189.5,fp_rank=182;bye=11
Jacksonville Jaguars DST,DST,,190.0,fp_rank=231;bye=7
Adonai Mitchell,WR,NYJ,192.0,fp_rank=183;bye=13
Gunnar Helm,TE,TEN,192.0,fp_rank=184;bye=9
Nicholas Singleton,RB,TEN,193.0,fp_rank=185;bye=9
Braelon Allen,RB,NYJ,193.0,fp_rank=186;bye=13
Emanuel Wilson,RB,SEA,194.5,fp_rank=187;bye=11
Ray Davis,RB,BUF,195.5,fp_rank=188;bye=7
Los Angeles Chargers DST,DST,,196.0,fp_rank=235;bye=7
Pat Freiermuth,TE,PIT,196.5,fp_rank=189;bye=9
Kimani Vidal,RB,LAC,196.5,fp_rank=190;bye=7
Mike Washington Jr.,RB,LV,197.0,fp_rank=191;bye=13
Calvin Ridley,WR,TEN,197.5,fp_rank=192;bye=9
Brandon Aiyuk,WR,SF,198.0,fp_rank=193;bye=8
Baltimore Ravens DST,DST,,198.0,fp_rank=236;bye=13
Cade Otton,TE,TB,198.5,fp_rank=194;bye=10
Greg Dulcich,TE,MIA,199.0,fp_rank=195;bye=6
Tua Tagovailoa,QB,ATL,202.0,fp_rank=196;bye=11
Zachariah Branch,WR,ATL,203.0,fp_rank=197;bye=11
Cleveland Browns DST,DST,,203.0,fp_rank=238;bye=11
Chicago Bears DST,DST,,204.0,fp_rank=239;bye=10
Darnell Mooney,WR,NYG,205.0,fp_rank=198;bye=8
David Njoku,TE,LAC,206.5,fp_rank=199;bye=7
Green Bay Packers DST,DST,,209.0,fp_rank=242;bye=11
Tank Dell,WR,HOU,209.5,fp_rank=200;bye=8
De'Zhaun Stribling,WR,SF,214.0,fp_rank=202;bye=8
Jordan James,RB,SF,214.5,fp_rank=203;bye=8
Troy Franklin,WR,DEN,215.5,fp_rank=204;bye=10
Kayshon Boutte,WR,NE,216.0,fp_rank=205;bye=11
Buffalo Bills DST,DST,,216.0,fp_rank=247;bye=7
Christian Kirk,WR,SF,217.0,fp_rank=206;bye=8
Atlanta Falcons DST,DST,,217.0,fp_rank=248;bye=11
Colby Parkinson,TE,LAR,218.0,fp_rank=207;bye=11
Terrance Ferguson,TE,LAR,219.5,fp_rank=209;bye=11
James Conner,RB,ARI,220.0,fp_rank=210;bye=14
Detroit Lions DST,DST,,220.0,fp_rank=250;bye=6
Kansas City Chiefs DST,DST,,222.0,fp_rank=251;bye=5
Cooper Kupp,WR,SEA,223.0,fp_rank=212;bye=11
MarShawn Lloyd,RB,GB,223.0,fp_rank=213;bye=11
New Orleans Saints DST,DST,,224.0,fp_rank=253;bye=8
Deshaun Watson,QB,CLE,224.5,fp_rank=215;bye=11
New York Giants DST,DST,,225.0,fp_rank=254;bye=8
Jake Tonges,TE,SF,226.0,fp_rank=216;bye=8
Eli Stowers,TE,PHI,227.5,fp_rank=217;bye=10
Germie Bernard,WR,PIT,228.0,fp_rank=218;bye=9
Jaydon Blue,RB,DAL,228.0,fp_rank=219;bye=14
Demond Claiborne,RB,MIN,230.0,fp_rank=220;bye=6
San Francisco 49ers DST,DST,,230.0,fp_rank=258;bye=8
Kaelon Black,RB,SF,231.5,fp_rank=221;bye=8
Michael Penix Jr.,QB,ATL,233.0,fp_rank=223;bye=11
Indianapolis Colts DST,DST,,233.0,fp_rank=259;bye=13
Jaylen Wright,RB,MIA,234.0,fp_rank=225;bye=6
Tyreek Hill,WR,,234.5,fp_rank=226
Chris Bell,WR,MIA,235.5,fp_rank=227;bye=6
Shedeur Sanders,QB,CLE,236.0,fp_rank=228;bye=11
Carolina Panthers DST,DST,,237.0,fp_rank=264;bye=5
Kirk Cousins,QB,LV,237.5,fp_rank=232;bye=13
Dallas Cowboys DST,DST,,238.0,fp_rank=265;bye=14
Malachi Fields,WR,NYG,239.5,fp_rank=233;bye=8
Tampa Bay Buccaneers DST,DST,,241.0,fp_rank=267;bye=10
Chris Brooks,RB,GB,245.5,fp_rank=240;bye=11
Dontayvion Wicks,WR,PHI,246.5,fp_rank=234;bye=10
Tennessee Titans DST,DST,,248.0,fp_rank=273;bye=9
Albert Okwuegbunam Jr.,TE,LV,249.0,fp_rank=275;bye=13
Justice Hill,RB,BAL,249.5,fp_rank=237;bye=13
Luke McCaffrey,WR,WAS,250.0,fp_rank=277;bye=7
Jalen Milroe,QB,SEA,251.0,fp_rank=279;bye=11
Mitchell Trubisky,QB,TEN,252.0,fp_rank=281;bye=9
Tyrod Taylor,QB,GB,253.0,fp_rank=283;bye=11
Jake Browning,QB,TB,255.0,fp_rank=286;bye=10
Will Shipley,RB,PHI,256.0,fp_rank=288;bye=10
Pierre Strong Jr.,RB,GB,257.0,fp_rank=290;bye=11
Mason Rudolph,QB,PIT,258.0,fp_rank=292;bye=9
KaVontae Turpin,WR,DAL,260.0,fp_rank=296;bye=14
